# Iranian Proxies — checked 2026-03-22 22:22 UTC
# Live-verified working: 0
# Total CIDR-confirmed Iranian IPs: 238
# TCP stats: ok=9 refused=3 timeout=226
# NOTE: Most timeouts = GitHub Actions (Azure) cannot reach Iranian IPs.
#       Test the 'All CIDR-confirmed' section locally for accurate results.
#

# === NO LIVE-VERIFIED PROXIES (likely Azure routing block) ===



# === ALL CIDR-CONFIRMED IRANIAN IPs (unverified, sorted by source) ===
# These are in Iranian IP ranges — test locally with:
#   python check_proxies.py  (run on a non-Azure VPS or your local machine)

89.37.219.212:8080          # gh_ercindedeoglu_http
78.158.162.42:1080          # gh_ercindedeoglu_s5
46.32.25.18:7070            # gh_ercindedeoglu_http
2.189.148.1:8080            # gh_ercindedeoglu_http
85.133.199.227:80           # gh_ercindedeoglu_http
195.211.71.200:1433         # gh_aslisk_s5
5.61.30.115:80              # gh_ercindedeoglu_http
195.137.167.74:80           # gh_ercindedeoglu_http
85.198.13.205:80            # gh_ercindedeoglu_http
195.137.167.15:80           # gh_ercindedeoglu_http
87.107.102.146:80           # gh_ercindedeoglu_http
5.201.171.28:80             # gh_ercindedeoglu_http
195.137.167.16:80           # gh_ercindedeoglu_http
178.252.143.214:8181        # gh_ercindedeoglu_http
37.235.20.148:8080          # gh_speedx_http
212.23.201.71:80            # gh_ercindedeoglu_http
37.32.28.99:80              # gh_ercindedeoglu_http
195.137.167.14:80           # gh_ercindedeoglu_http
195.137.167.19:80           # gh_ercindedeoglu_http
37.114.192.128:3128         # gh_ercindedeoglu_http
188.136.154.38:8080         # gh_ercindedeoglu_http
79.175.189.88:1080          # gh_ercindedeoglu_http
37.32.22.236:3128           # gh_ercindedeoglu_http
62.60.156.14:2053           # openray_all
5.34.196.55:443             # gh_ercindedeoglu_http
195.137.167.50:80           # gh_ercindedeoglu_http
37.156.146.163:3128         # gh_ercindedeoglu_http
217.66.200.154:3128         # gh_ercindedeoglu_http
193.151.130.114:8086        # gh_speedx_http
79.132.192.13:3128          # gh_ercindedeoglu_http
81.91.139.76:8080           # gh_ercindedeoglu_http
46.100.106.242:6030         # gh_ercindedeoglu_http
195.137.167.37:80           # gh_ercindedeoglu_http
195.137.167.48:80           # gh_ercindedeoglu_http
217.219.28.117:3128         # gh_ercindedeoglu_http
195.137.167.3:80            # gh_ercindedeoglu_http
195.137.167.72:80           # gh_ercindedeoglu_http
